"Date:";"2024-03-20 15:07:34"
"Programme python:";"D:\Programmes-kicad-Python\bom_csv_grouped_by_value_with_fp.py"
"";""
"";""
"Ref";"Valeur";"Fabriquant";"Reference fabricant";"Distributeur 1";"Distributeur 2";"Cmp name";"Description";"Quantite";"Footprint";"Documentation";"DNP"
"J21";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J22";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J23";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J24";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J25";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J26";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J27";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J28";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J29";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J30";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J31";"Conn_02x08_Odd_Even";"Amphenol";"77313-118-72LF";"F:2886108";"M:649-77313-118-72LF";"Conn_02x02_Odd_Even_omi";"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_2x08_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J18";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J19";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J32";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J33";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J34";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J35";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J36";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J37";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J38";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J39";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J40";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J41";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
"J42";"Conn_01x0_P2.54mm_pinheader_vertical";"Amphenol";"77311-102-36LF";"DK:609-6203-ND";"M:77311-102-36LF";"Conn_01x0_P2.54mm_pinheader_vertical";"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)";"1";"Omiconnecteur:PinHeader_1x01_P2.54mm_V_omi";"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_bergstik.pdf";""
